# expression:  I am wondering if there is any direct flight departing on <b class='fixed'>Friday</b> to <b class='fixed'>Tehran</b>?

valid	is there any direct flight to Tehran on Friday?
valid	what flights are available to Tehran on Friday?
valid	is any flight available to Tehran on Friday

cheating	what is special on Friday in Tehran
cheating	is Friday the weekend in Tehran ?
cheating	what is the best thing to do on Friday in Tehran.

cheating	Tehran direct flight to istanbul on Friday
cheating	Tehran direct flight to vienna on Friday
cheating	Tehran direct flight to copenhagen on Friday

valid	is there a direct flight to Tehran on Friday
valid	can I fly to Tehran directly on Friday
valid	is there a direct flight on Friday to Tehran

valid	I would like to fly on Friday to Tehran
cheating	that made Friday in Tehran
cheating	I saw you on Friday in the streets of Tehran

valid	is there a direct flight to Tehran on Friday
valid	are there Tehran flights on Friday that are direct
valid	on Friday are there any direct flights to Tehran

valid	I want to know direct flights to Tehran this Friday
valid	I need information about direct flights to Tehran for next Friday
valid	may I know if there is any direct flight this Friday to Tehran?

cheating	this is nice to listen for that here is have a flight departing on Friday to Tehran
cheating	wow! this is good for mme that there is flight departing on Friday to Tehran
cheating	I am so happy to listen that here is a flight for me which departing on Friday to Tehran

valid	cheapest flights deals to Tehran on Friday.
cheating	my booking in confirmed to pakistan via Tehran on Friday
cheating	adjust prices for tickets from Tehran to kish island based on the Fridayday

valid	is there a flight to Tehran on Friday?
valid	find me direct flights to Tehran this Friday
valid	which companies fly to Tehran this Friday?
